iter	RMSE
288	1.184641722
289	1.180246091
290	1.179178004
291	1.177983118
292	1.176850581
293	1.176158114
294	1.175496155
295	1.171482732
296	1.16688077
297	1.163363275
298	1.162135834
299	1.160930642
300	1.159561515
301	1.158240405
302	1.157134196
303	1.156038438
304	1.155134867
305	1.153901479
306	1.152880102
307	1.152039983
308	1.151255141
309	1.150491883
310	1.149630974
311	1.144886207
312	1.140199128
313	1.139707125
314	1.135009109
315	1.130859801
316	1.129812159
317	1.125559721
318	1.122268605
319	1.121586468
320	1.118689086
321	1.115309656
322	1.111795388
323	1.111331155
324	1.107916299
325	1.105164365
326	1.10471648
327	1.101235299
328	1.09814551
329	1.095525699
330	1.094967064
331	1.094545079
332	1.094131904
333	1.091400627
334	1.088955084
335	1.087058148
336	1.083751798
337	1.083165579
338	1.082782641
339	1.079198751
340	1.075434403
341	1.072314032
342	1.067705543
343	1.064334102
344	1.06186603
345	1.058463916
346	1.054923349
347	1.050973388
348	1.046932537
349	1.044296978
350	1.041913759
351	1.03938076
352	1.036674106
353	1.033839249
354	1.031516458
355	1.028741449
356	1.025179033
357	1.022958293
358	1.019617158
359	1.016972106
360	1.013067916
361	1.010985021
362	1.008335797
363	1.006125947
364	1.002904248
365	1.000595895
366	0.997465115
367	0.9945491874
368	0.992661765
369	0.9898159237
370	0.9869161513
371	0.9839676987
372	0.9808171461
373	0.9789786033
374	0.976772644
375	0.9738874693
376	0.9715215964
377	0.9686015899
378	0.96522759
379	0.9631255671
380	0.9604345476
381	0.9575345095
382	0.9551937286
383	0.9527858019
384	0.9507015193
385	0.9486858255
386	0.9460533859
387	0.9438764795
388	0.9419096946
389	0.9400636231
390	0.9379717272
391	0.9354508029
392	0.9337147376
393	0.9315222143
394	0.929658206
395	0.9273956287
396	0.9253743066
397	0.9234734017
398	0.9210012983
399	0.9191727018
400	0.9169495547
401	0.9137769268
402	0.9112520858
403	0.9095063056
404	0.9081146028
405	0.906308899
406	0.9046505231
407	0.9016844642
408	0.8981486396
409	0.8967472013
410	0.8934561561
411	0.8917787171
412	0.8900755412
413	0.8880319954
414	0.8858762117
415	0.8836415611
416	0.8808387138
417	0.8793990838
418	0.8779048567
419	0.8752099497
420	0.8726305492
421	0.869918756
422	0.8677554578
423	0.8661510757
424	0.8646948525
425	0.8631802291
426	0.861647782
427	0.8602925462
428	0.8582332627
429	0.8571307634
430	0.8550119547
431	0.8532117171
432	0.8505344204
433	0.8486268067
434	0.8471298053
435	0.8444397615
436	0.8418533501
437	0.838855286
438	0.8371026958
439	0.8333980552
440	0.8319056479
441	0.8289914001
442	0.8265595273
443	0.8242668675
444	0.8221903593
445	0.8204628935
446	0.8190774292
447	0.8173245259
448	0.8157401669
449	0.813138383
450	0.8117094017
451	0.8094951464
452	0.8089337362
453	0.8057607567
454	0.8044890884
455	0.8023495347
456	0.8011069645
457	0.7986074042
458	0.7960153676
459	0.7930134643
460	0.7913168381
461	0.7893244122
462	0.7879302471
463	0.784990803
464	0.7831675717
465	0.7818644186
466	0.7800431535
467	0.7783847442
468	0.7771789632
469	0.7757548352
470	0.77423387
471	0.7733689373
472	0.7717600095
473	0.7704906193
474	0.7679683882
475	0.7670213186
476	0.7650342712
477	0.7630589262
478	0.7608213059
479	0.7594900488
480	0.7580229255
481	0.7557335372
482	0.7545413417
483	0.7532801055
484	0.7504312337
485	0.7482942427
486	0.7473903499
487	0.7464866792
488	0.7454212706
489	0.7428236719
490	0.7415634041
491	0.73935151
492	0.7379595749
493	0.736972902
494	0.7360379126
495	0.7337173892
496	0.7323632419
497	0.7309943578
498	0.7297217572
499	0.7288189056
500	0.7269341347
501	0.7251124777
502	0.7248725776
503	0.723306547
504	0.7221915204
505	0.7215005547
506	0.7196594072
507	0.7185543367
508	0.7176507865
509	0.7161108772
510	0.713584366
511	0.7115909904
512	0.7099097399
513	0.7088943821
514	0.7072659051
515	0.7053298262
516	0.7044110951
517	0.7026114065
518	0.7009181878
519	0.6997188163
520	0.6990281874
521	0.6977538787
522	0.6965791499
523	0.6957627328
524	0.6945782757
525	0.6933045615
526	0.6919947146
527	0.6912065647
528	0.6895399328
529	0.688513847
530	0.6859809366
531	0.6852155422
532	0.6834868874
533	0.6829878775
534	0.6813862119
535	0.6807140066
536	0.6793899835
537	0.6775150616
538	0.6764506386
539	0.674524404
540	0.6728489181
541	0.6713753879
542	0.6703011698
543	0.6685246188
544	0.667758317
545	0.6661606802
546	0.665248815
547	0.664601877
548	0.6639847129
549	0.6623323606
550	0.6617192667
551	0.6601433059
552	0.6585247117
553	0.6570261321
554	0.6563491946
555	0.6557878361
556	0.6550265514
557	0.6537871221
558	0.6528098209
559	0.6518072312
560	0.6511033304
561	0.6504388591
562	0.648679569
563	0.6479435024
564	0.647388661
565	0.6464341191
566	0.6453000624
567	0.6433056275
568	0.6426868327
569	0.6408800432
570	0.6392728502
571	0.6376959099
572	0.637079414
573	0.635672358
574	0.6345806569
575	0.6331944839
576	0.6319021855
577	0.6304136934
578	0.6293504713
579	0.6283471889
580	0.6268428808
581	0.6253794307
582	0.6235004855
583	0.6228084634
584	0.6220430153
585	0.62147034
586	0.6206921977
587	0.6199540282
588	0.6193726839
589	0.6187751352
590	0.6174437252
591	0.6161295321
592	0.6143503145
593	0.6132998193
594	0.6116750908
595	0.6109978222
596	0.6097018718
597	0.6083513107
598	0.6074791924
599	0.6065697761
600	0.6057071035
601	0.6047966772
602	0.6033457195
603	0.6020124122
604	0.6015287071
605	0.5995647652
606	0.5984480315
607	0.5973916034
608	0.5961820034
609	0.5947320542
610	0.5934521523
611	0.5928354543
612	0.5918176985
613	0.5901969455
614	0.5886667299
615	0.5874865674
616	0.58624904
617	0.5852908488
618	0.5844997772
619	0.5838054295
620	0.5825836072
621	0.5818934039
622	0.5807301452
623	0.5797088861
624	0.5792184515
625	0.5778125932
626	0.5768344711
627	0.5758345763
628	0.5747380101
629	0.5737902119
630	0.5729347145
631	0.5722061888
632	0.5710654739
633	0.5700496403
634	0.5693097977
635	0.5682553254
636	0.5674013492
637	0.5667842704
638	0.5659870852
639	0.565596827
640	0.564506241
641	0.563873392
642	0.5624791279
643	0.5617579649
644	0.561032327
645	0.5598350576
646	0.558680194
647	0.5578921612
648	0.5568526615
649	0.5557874679
650	0.5545562265
651	0.5540061278
652	0.5527431661
653	0.5523211173
654	0.5518222392
655	0.5510449025
656	0.5499560569
657	0.5488901503
658	0.5480371325
659	0.5469126024
660	0.5463128945
661	0.545133802
662	0.5445552762
663	0.5437893341
664	0.5430398435
665	0.5421007913
666	0.5412481237
667	0.5402463061
668	0.5393289819
669	0.5383885657
670	0.537956473
671	0.5372480924
672	0.5360602576
673	0.5356163652
674	0.5346775452
675	0.5336390647
676	0.5328349862
677	0.5319649207
678	0.5312833335
679	0.5300034221
680	0.5288371492
681	0.5280191947
682	0.5272082218
683	0.526565693
684	0.5256108644
685	0.525251906
686	0.5245945733
687	0.5236625643
688	0.5227573263
689	0.5219805291
690	0.5209370429
691	0.5195473787
692	0.5185446791
693	0.517730766
694	0.5169733973
695	0.516217016
696	0.515494918
697	0.5144991468
698	0.5139039029
699	0.5134569381
700	0.5124790169
701	0.5119006327
702	0.5110174276
703	0.5105075178
704	0.5097167491
705	0.5090668008
706	0.5079674742
707	0.506999299
708	0.506262401
709	0.5053364927
710	0.504733156
711	0.503747609
712	0.5033231208
713	0.5028937077
714	0.50215346
715	0.5012266107
716	0.5008180773
717	0.5001102515
718	0.4991069292
719	0.4980145517
720	0.497449318
721	0.4966459226
722	0.4959811928
723	0.4949632178
724	0.4941411496
725	0.4932594191
726	0.49246383
727	0.4914367274
728	0.4906431102
729	0.4897654774
730	0.4892889691
731	0.4890297715
732	0.4885852118
733	0.4880893375
734	0.4871307527
735	0.4862728256
736	0.4855796471
737	0.4848017566
738	0.4839760673
739	0.483241638
740	0.4828839767
741	0.482233575
742	0.4813589686
743	0.4804733765
744	0.4797089061
745	0.4787056085
746	0.4780902161
747	0.4771634443
748	0.4763283138
749	0.4757316812
750	0.4753170981
751	0.4744697251
752	0.4735452972
753	0.4732921761
754	0.4729576923
755	0.4725528991
756	0.4719508079
757	0.4709880405
758	0.4701718083
759	0.4693589687
760	0.4687089523
761	0.4679187637
762	0.4672361484
763	0.4666821717
764	0.4661335624
765	0.4652141475
766	0.4645064527
767	0.4641302583
768	0.4638993106
769	0.463531476
770	0.4629334702
771	0.4625672589
772	0.4618101555
773	0.4611489767
774	0.4602407049
775	0.4594497124
776	0.4591855221
777	0.4587326346
778	0.4579578596
779	0.4570722409
780	0.4565508692
781	0.4558713319
782	0.4553768912
783	0.4549426965
784	0.4540301592
785	0.4533916143
786	0.4525772707
787	0.4518402567
788	0.451279236
789	0.4510433361
790	0.4502266545
791	0.4495910961
792	0.4488292913
793	0.4484625226
794	0.4475039725
795	0.4471009574
796	0.446320225
797	0.4455778844
798	0.4452572813
799	0.4450180394
800	0.4443878117
801	0.4436545775
802	0.4428455652
803	0.4422384526
804	0.4415545247
805	0.4408607895
806	0.4403609367
807	0.4397402301
808	0.4393219439
809	0.4389345028
810	0.4384085605
811	0.4376667745
812	0.437103248
813	0.4363595169
814	0.4359359748
815	0.435605203
816	0.4353176549
817	0.434587748
818	0.4341910655
819	0.4339154122
820	0.4331666632
821	0.4323216021
822	0.4315659691
823	0.4308196301
824	0.4306268995
825	0.4300113336
826	0.4296077314
827	0.4289838155
828	0.428331577
829	0.4275258085
830	0.426820265
831	0.4261244717
832	0.4252824072
833	0.4245446897
834	0.4240445214
835	0.4233827644
836	0.4228759878
837	0.4225583926
838	0.4218500979
839	0.421121023
840	0.4205478582
841	0.4197522124
842	0.41909034
843	0.4184780136
844	0.4176342939
845	0.4170038318
846	0.4164127226
847	0.4160086844
848	0.4156294896
849	0.4149382498
850	0.414499953
851	0.4137441027
852	0.4132315352
853	0.4126412147
854	0.4118003235
855	0.4112976797
856	0.4109034004
857	0.4103352972
858	0.4097331067
859	0.40916942
860	0.4089644143
861	0.4081844444
862	0.4079000087
863	0.4072772159
864	0.4065971792
865	0.4062887343
866	0.4058834234
867	0.4054393877
868	0.4049574774
869	0.4047386877
870	0.4040080633
871	0.4034317984
872	0.4027996941
873	0.4025365322
874	0.4020519222
875	0.4016100901
876	0.4010383106
877	0.4002979239
878	0.3997850841
879	0.3992151809
880	0.3986742171
881	0.3979022711
882	0.3974861937
883	0.3968765955
884	0.3962645709
885	0.3957392382
886	0.3954777803
887	0.3949665135
888	0.3945215797
889	0.3937967358
890	0.3932046328
891	0.3929269995
892	0.3923072998
893	0.3920272064
894	0.3915832583
895	0.3908881489
896	0.3906286391
897	0.3901357531
898	0.3898878031
899	0.3893568757
900	0.3889056914
901	0.3884257199
902	0.3879671715
903	0.3877288889
904	0.3871752079
905	0.3869156034
906	0.3864086868
907	0.3858179601
908	0.3853832582
909	0.3846474427
910	0.3839045482
911	0.3835982751
912	0.3830729756
913	0.3828014945
914	0.3821157843
915	0.3818446053
916	0.3812698295
917	0.3811027033
918	0.3804852359
919	0.3800868271
920	0.3798725856
921	0.3794197532
922	0.3788137244
923	0.3785908762
924	0.3779797703
925	0.3774092712
926	0.3771833181
927	0.3765772906
928	0.3759160093
929	0.3753148593
930	0.3747376135
931	0.3742976425
932	0.3738378529
933	0.373585039
934	0.3732077913
935	0.3725955639
936	0.3723288501
937	0.3718265993
938	0.3712623839
939	0.3708400584
940	0.3703007249
941	0.3696842914
942	0.3691921407
943	0.3686605575
944	0.3684242245
945	0.3679630448
946	0.3676235909
947	0.3670849076
948	0.3665766812
949	0.3659228907
950	0.3654568416
951	0.3649295737
952	0.3645043524
953	0.3638481829
954	0.3633677191
955	0.3628244285
956	0.362293745
957	0.3619192858
958	0.3615610631
959	0.3612931714
960	0.3606921483
961	0.3604484819
962	0.3599919642
963	0.3594695453
964	0.3589694847
965	0.3586485468
966	0.3580941342
967	0.3576019235
968	0.3572166892
969	0.3567671288
970	0.3563355181
971	0.3560488971
972	0.3557480012
973	0.3550343845
974	0.3544912349
975	0.354052318
976	0.3536130438
977	0.3531698355
978	0.3529799584
979	0.352838338
980	0.3524712236
981	0.3520566204
982	0.3515974977
983	0.3511479984
984	0.3507501874
985	0.3504307918
986	0.3499215028
987	0.3496213533
988	0.3491953611
989	0.348774202
990	0.3484271745
991	0.3481431244
992	0.3475793901
993	0.3470593071
994	0.3467331593
995	0.3465347352
996	0.3463761058
997	0.3461832395
998	0.345648197
999	0.3451570909
